,index,patch_number,name,patch_data,file_path,syx_file,has_fixed_freqs,id,wav_path,inaudible
184,202,21,SassyBras,"{
    'name': 'SassyBras',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [7, 4, 8, 1, 2, 1],
    'fine': [21, 4, 6, 0, 5, 0],
    'detune': [0, -1, 0, 0, -7, 5],
    'transpose': 0,
    'ol': [99, 76, 50, 83, 80, 95],
    'eg_rate': [
		[42, 48, 40, 41, 37, 67],
		[56, 12, 31, 12, 51, 24],
		[20, 22, 22, 22, 22, 19],
		[70, 50, 50, 50, 50, 56]
    ],
    'eg_level': [
		[99, 99, 99, 99, 85, 99],
		[0, 61, 61, 95, 0, 95],
		[0, 61, 61, 95, 0, 53],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [3, 0, 0, 2, 7, 5],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,False,202,DX7_YAMAHA/VRC Voice ROMs/vrc108b/21_SassyBras.wav,False
185,203,22,ComicSire,"{
    'name': 'ComicSire',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 1, 0, 1, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 1, 1, 0, 0],
    'coarse': [1, 3, 1, 3, 2, 6],
    'fine': [95, 74, 73, 79, 0, 0],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [95, 95, 99, 99, 82, 99],
    'eg_rate': [
		[99, 40, 99, 41, 46, 39],
		[23, 44, 99, 41, 32, 39],
		[0, 0, 99, 99, 99, 99],
		[0, 40, 30, 44, 21, 44]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[0, 0, 99, 0, 99, 0],
		[0, 0, 99, 0, 99, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,True,203,DX7_YAMAHA/VRC Voice ROMs/vrc108b/22_ComicSire.wav,False
186,204,23,Bugs&Bird,"{
    'name': 'Bugs&Bird',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 1, 0, 1, 0],
    'feedback': 4,
    'fixed_freq': [1, 1, 1, 1, 1, 0],
    'coarse': [1, 3, 1, 3, 1, 2],
    'fine': [99, 82, 51, 50, 45, 25],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [99, 99, 94, 80, 99, 99],
    'eg_rate': [
		[99, 46, 73, 47, 64, 53],
		[52, 99, 71, 41, 29, 47],
		[64, 99, 76, 28, 71, 14],
		[42, 99, 99, 62, 53, 55]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[95, 0, 99, 99, 0, 0],
		[91, 0, 99, 99, 0, 0],
		[0, 0, 99, 99, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,True,204,DX7_YAMAHA/VRC Voice ROMs/vrc108b/23_Bugs&Bird.wav,False
187,205,24,RainDrops,"{
    'name': 'RainDrops',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 1, 0, 0],
    'feedback': 5,
    'fixed_freq': [1, 1, 1, 1, 0, 0],
    'coarse': [3, 2, 3, 3, 0, 4],
    'fine': [72, 13, 42, 99, 98, 77],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 12,
    'ol': [99, 92, 70, 48, 66, 96],
    'eg_rate': [
		[99, 99, 99, 99, 89, 86],
		[99, 99, 99, 99, 99, 56],
		[99, 99, 99, 99, 99, 99],
		[99, 25, 21, 99, 38, 50]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 99, 43],
		[99, 99, 99, 99, 99, 0],
		[99, 99, 60, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 2, 1],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,True,205,DX7_YAMAHA/VRC Voice ROMs/vrc108b/24_RainDrops.wav,False
188,206,25,Speak-One,"{
    'name': 'Speak-One',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 1, 1],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 3,
    'fixed_freq': [0, 1, 0, 0, 0, 0],
    'coarse': [1, 3, 1, 2, 1, 1],
    'fine': [31, 28, 5, 0, 3, 0],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': -12,
    'ol': [93, 42, 99, 99, 98, 99],
    'eg_rate': [
		[99, 98, 99, 44, 99, 44],
		[28, 28, 39, 45, 39, 45],
		[96, 76, 72, 48, 70, 48],
		[4, 4, 4, 88, 4, 88]
    ],
    'eg_level': [
		[88, 99, 43, 99, 43, 99],
		[89, 92, 92, 81, 92, 81],
		[0, 0, 57, 0, 57, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,True,206,DX7_YAMAHA/VRC Voice ROMs/vrc108b/25_Speak-One.wav,False
189,207,26,Speak-Two,"{
    'name': 'Speak-Two',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 1],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [3, 3, 1, 0, 0, 1],
    'fine': [9, 22, 10, 5, 9, 14],
    'detune': [-4, 0, -1, -7, -7, -1],
    'transpose': 12,
    'ol': [80, 99, 99, 99, 99, 99],
    'eg_rate': [
		[99, 99, 92, 57, 99, 57],
		[86, 88, 80, 40, 99, 40],
		[54, 70, 99, 51, 66, 58],
		[99, 99, 53, 71, 99, 71]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[75, 92, 72, 99, 85, 99],
		[0, 16, 32, 0, 32, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 0],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,False,207,DX7_YAMAHA/VRC Voice ROMs/vrc108b/26_Speak-Two.wav,False
190,208,27,Speak-Thr,"{
    'name': 'Speak-Thr',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 5,
    'fixed_freq': [1, 0, 1, 0, 0, 0],
    'coarse': [3, 1, 1, 2, 1, 1],
    'fine': [18, 0, 76, 0, 0, 99],
    'detune': [0, 0, 0, -7, -7, -1],
    'transpose': 0,
    'ol': [99, 76, 84, 99, 92, 84],
    'eg_rate': [
		[93, 91, 26, 82, 42, 58],
		[43, 50, 48, 46, 71, 40],
		[57, 44, 83, 53, 28, 54],
		[99, 99, 53, 99, 67, 71]
    ],
    'eg_level': [
		[99, 52, 53, 71, 62, 99],
		[99, 41, 99, 99, 92, 92],
		[0, 99, 0, 0, 99, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 1],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,True,208,DX7_YAMAHA/VRC Voice ROMs/vrc108b/27_Speak-Thr.wav,False
191,209,28,Speak-Fou,"{
    'name': 'Speak-Fou',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 2,
    'fixed_freq': [1, 0, 1, 0, 0, 0],
    'coarse': [3, 1, 1, 1, 1, 1],
    'fine': [44, 0, 64, 0, 0, 99],
    'detune': [0, 0, 0, -7, -7, -1],
    'transpose': 0,
    'ol': [36, 83, 99, 99, 82, 99],
    'eg_rate': [
		[93, 64, 22, 51, 64, 60],
		[43, 54, 68, 42, 57, 42],
		[54, 59, 92, 56, 59, 56],
		[99, 99, 53, 71, 99, 71]
    ],
    'eg_level': [
		[99, 46, 60, 99, 46, 99],
		[99, 35, 99, 95, 35, 95],
		[0, 99, 0, 0, 99, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 1],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,True,209,DX7_YAMAHA/VRC Voice ROMs/vrc108b/28_Speak-Fou.wav,False
192,210,29,What?One?,"{
    'name': 'What?One?',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 1, 1],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 3,
    'fixed_freq': [0, 1, 0, 0, 0, 0],
    'coarse': [1, 3, 1, 2, 1, 1],
    'fine': [31, 36, 5, 0, 3, 0],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': -12,
    'ol': [99, 46, 99, 99, 98, 99],
    'eg_rate': [
		[99, 98, 99, 44, 99, 46],
		[28, 28, 34, 43, 33, 98],
		[96, 76, 72, 48, 70, 98],
		[4, 4, 4, 88, 4, 99]
    ],
    'eg_level': [
		[88, 99, 43, 99, 43, 99],
		[89, 92, 92, 81, 92, 85],
		[0, 0, 57, 0, 57, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,True,210,DX7_YAMAHA/VRC Voice ROMs/vrc108b/29_What?One?.wav,False
193,211,30,FM~Teapot,"{
    'name': 'FM~Teapot',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 1, 0, 1, 0],
    'feedback': 7,
    'fixed_freq': [1, 1, 0, 0, 1, 0],
    'coarse': [1, 3, 15, 11, 2, 9],
    'fine': [57, 99, 1, 5, 99, 24],
    'detune': [0, 0, 0, 0, 0, 0],
    'transpose': 0,
    'ol': [99, 99, 78, 85, 74, 85],
    'eg_rate': [
		[99, 0, 36, 0, 36, 0],
		[10, 0, 98, 31, 98, 31],
		[0, 0, 20, 30, 20, 30],
		[20, 39, 40, 40, 40, 40]
    ],
    'eg_level': [
		[99, 99, 90, 99, 90, 99],
		[99, 0, 99, 99, 98, 99],
		[99, 0, 99, 99, 96, 99],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 2, 3, 2, 3, 2],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,True,211,DX7_YAMAHA/VRC Voice ROMs/vrc108b/30_FM~Teapot.wav,False
194,212,31,TapeRewin,"{
    'name': 'TapeRewin',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 1, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 1, 0],
    'feedback': 5,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [5, 1, 5, 1, 3, 1],
    'fine': [0, 0, 0, 1, 0, 0],
    'detune': [7, 0, 7, 0, -7, 0],
    'transpose': -12,
    'ol': [81, 99, 82, 99, 77, 99],
    'eg_rate': [
		[78, 48, 62, 50, 57, 51],
		[95, 0, 95, 0, 0, 0],
		[70, 12, 70, 12, 70, 12],
		[0, 59, 0, 56, 0, 62]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[96, 90, 96, 90, 96, 90],
		[75, 97, 79, 97, 91, 97],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 5, 0, 4],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc108b.syx,vrc108b.syx,False,212,DX7_YAMAHA/VRC Voice ROMs/vrc108b/31_TapeRewin.wav,False
195,213,0,SoftEgStr,"{
    'name': 'SoftEgStr',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [0, 0, 0, 1, 0, 1],
    'coarse': [1, 1, 1, 0, 1, 0],
    'fine': [0, 0, 0, 8, 0, 0],
    'detune': [2, 0, -2, 0, -7, 0],
    'transpose': -12,
    'ol': [72, 65, 83, 99, 79, 99],
    'eg_rate': [
		[57, 56, 56, 46, 59, 43],
		[13, 13, 13, 30, 46, 30],
		[60, 60, 60, 40, 60, 40],
		[5, 1, 19, 36, 17, 36]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 99, 99],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 1, 2, 0, 3],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,True,213,DX7_YAMAHA/VRC Voice ROMs/vrc110b/0_SoftEgStr.wav,False
196,214,1,Anna Str ,"{
    'name': 'Anna Str ',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [0, 1, 0, 1, 0, 1],
    'coarse': [3, 0, 1, 0, 1, 0],
    'fine': [0, 50, 0, 1, 0, 0],
    'detune': [2, 0, -2, 0, -7, 0],
    'transpose': -12,
    'ol': [83, 56, 80, 98, 83, 99],
    'eg_rate': [
		[67, 59, 60, 43, 99, 43],
		[13, 13, 13, 70, 46, 70],
		[60, 60, 60, 20, 60, 20],
		[39, 38, 35, 37, 35, 37]
    ],
    'eg_level': [
		[98, 98, 98, 99, 98, 99],
		[80, 80, 80, 97, 95, 97],
		[85, 85, 85, 95, 95, 95],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 1, 1, 0, 1, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,True,214,DX7_YAMAHA/VRC Voice ROMs/vrc110b/1_Anna Str .wav,False
197,215,2,Xylo Str1,"{
    'name': 'Xylo Str1',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 1]
    ],
    'outmatrix': [1, 0, 1, 0, 1, 0],
    'feedback': 7,
    'fixed_freq': [0, 1, 0, 0, 0, 0],
    'coarse': [2, 0, 2, 2, 20, 4],
    'fine': [1, 39, 0, 0, 0, 0],
    'detune': [-4, 0, 0, 0, 1, 0],
    'transpose': -24,
    'ol': [76, 99, 88, 99, 89, 99],
    'eg_rate': [
		[77, 35, 71, 37, 82, 80],
		[11, 11, 30, 7, 60, 40],
		[7, 20, 0, 20, 39, 46],
		[22, 35, 25, 35, 26, 69]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 97, 98, 97, 81, 97],
		[98, 0, 90, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 4, 3, 0],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,True,215,DX7_YAMAHA/VRC Voice ROMs/vrc110b/2_Xylo Str1.wav,False
198,216,3,Digi Pad ,"{
    'name': 'Digi Pad ',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 6,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [3, 1, 0, 0, 2, 0],
    'fine': [0, 0, 0, 0, 0, 0],
    'detune': [-6, 7, -6, 0, 7, 6],
    'transpose': 0,
    'ol': [99, 65, 82, 99, 70, 99],
    'eg_rate': [
		[70, 70, 70, 64, 50, 65],
		[27, 27, 27, 40, 26, 48],
		[16, 16, 16, 23, 9, 45],
		[31, 40, 39, 42, 36, 41]
    ],
    'eg_level': [
		[90, 90, 90, 99, 94, 99],
		[99, 99, 99, 97, 99, 99],
		[94, 95, 94, 94, 94, 99],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [2, 1, 1, 3, 1, 3],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,False,216,DX7_YAMAHA/VRC Voice ROMs/vrc110b/3_Digi Pad .wav,False
199,217,4,AcSweep 2,"{
    'name': 'AcSweep 2',
    'modmatrix': [
		[0, 1, 1, 1, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 0, 0, 0],
    'feedback': 5,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [9, 7, 0, 7, 1, 0],
    'fine': [0, 0, 0, 11, 50, 0],
    'detune': [7, 6, 6, 7, 0, 0],
    'transpose': 0,
    'ol': [89, 70, 96, 74, 83, 99],
    'eg_rate': [
		[77, 89, 85, 0, 21, 42],
		[68, 50, 35, 32, 37, 24],
		[23, 23, 10, 34, 5, 25],
		[61, 61, 60, 61, 61, 53]
    ],
    'eg_level': [
		[99, 99, 99, 68, 99, 99],
		[79, 88, 91, 99, 81, 93],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [5, 6, 3, 0, 0, 0],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,False,217,DX7_YAMAHA/VRC Voice ROMs/vrc110b/4_AcSweep 2.wav,False
200,218,5,PedSweep2,"{
    'name': 'PedSweep2',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [5, 1, 26, 1, 2, 1],
    'fine': [0, 0, 0, 0, 0, 0],
    'detune': [0, 4, -1, 0, -6, -1],
    'transpose': -12,
    'ol': [70, 91, 74, 99, 84, 99],
    'eg_rate': [
		[64, 64, 64, 62, 64, 45],
		[35, 30, 43, 24, 43, 24],
		[32, 32, 0, 0, 32, 32],
		[32, 20, 39, 45, 20, 45]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 99, 99],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 0, 0, 0, 0],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,False,218,DX7_YAMAHA/VRC Voice ROMs/vrc110b/5_PedSweep2.wav,False
201,219,6,StrBrsPed,"{
    'name': 'StrBrsPed',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [3, 1, 5, 1, 1, 1],
    'fine': [0, 0, 0, 0, 0, 0],
    'detune': [-3, 7, 6, -4, 1, -6],
    'transpose': -12,
    'ol': [77, 81, 63, 88, 82, 99],
    'eg_rate': [
		[75, 75, 75, 37, 46, 64],
		[49, 49, 49, 39, 53, 24],
		[28, 28, 28, 35, 16, 12],
		[12, 12, 12, 42, 56, 64]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 95, 93],
		[99, 99, 99, 99, 94, 96],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [1, 0, 0, 2, 1, 0],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,False,219,DX7_YAMAHA/VRC Voice ROMs/vrc110b/6_StrBrsPed.wav,False
202,220,7,TytPhaz,"{
    'name': 'TytPhaz//',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 1, 0, 0],
    'feedback': 5,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [1, 1, 1, 0, 0, 0],
    'fine': [0, 0, 0, 99, 99, 99],
    'detune': [7, 7, 7, 3, 4, 3],
    'transpose': 0,
    'ol': [84, 69, 99, 96, 64, 99],
    'eg_rate': [
		[54, 53, 78, 63, 73, 78],
		[27, 17, 51, 27, 17, 51],
		[44, 35, 60, 44, 35, 60],
		[3, 13, 46, 11, 25, 46]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 99, 99],
		[99, 99, 85, 99, 99, 85],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 1, 0, 0, 1],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,False,220,DX7_YAMAHA/VRC Voice ROMs/vrc110b/7_TytPhaz.wav,False
203,221,8,ObieBrs5,"{
    'name': 'ObieBrs5/',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 0, 1, 0, 0, 0],
		[0, 0, 0, 0, 0, 0],
		[0, 0, 0, 1, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 0, 1, 0, 0],
    'feedback': 5,
    'fixed_freq': [0, 0, 0, 0, 0, 0],
    'coarse': [1, 1, 1, 1, 0, 0],
    'fine': [0, 0, 0, 0, 99, 99],
    'detune': [7, 7, 7, -7, 7, 7],
    'transpose': -12,
    'ol': [81, 75, 99, 80, 78, 99],
    'eg_rate': [
		[54, 53, 78, 55, 60, 85],
		[27, 17, 38, 27, 17, 38],
		[44, 35, 20, 44, 35, 20],
		[54, 47, 56, 62, 51, 55]
    ],
    'eg_level': [
		[99, 99, 99, 99, 99, 99],
		[99, 99, 99, 99, 99, 99],
		[94, 94, 99, 95, 99, 99],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 1, 0, 0, 1],
    'has_fixed_freq': False,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,False,221,DX7_YAMAHA/VRC Voice ROMs/vrc110b/8_ObieBrs5.wav,False
204,222,9,Anna Fat ,"{
    'name': 'Anna Fat ',
    'modmatrix': [
		[0, 1, 0, 0, 0, 0],
		[0, 1, 0, 0, 0, 0],
		[0, 0, 0, 1, 0, 0],
		[0, 0, 0, 0, 1, 0],
		[0, 0, 0, 0, 0, 1],
		[0, 0, 0, 0, 0, 0]
    ],
    'outmatrix': [1, 0, 1, 0, 0, 0],
    'feedback': 7,
    'fixed_freq': [0, 0, 0, 1, 0, 1],
    'coarse': [3, 1, 1, 0, 1, 0],
    'fine': [0, 0, 0, 8, 0, 10],
    'detune': [2, 0, -2, 0, -7, 0],
    'transpose': -12,
    'ol': [49, 75, 86, 99, 87, 99],
    'eg_rate': [
		[45, 43, 53, 94, 46, 94],
		[13, 13, 13, 70, 46, 70],
		[60, 60, 60, 15, 60, 15],
		[53, 53, 53, 54, 53, 54]
    ],
    'eg_level': [
		[98, 98, 98, 99, 98, 99],
		[80, 80, 80, 99, 92, 99],
		[85, 85, 85, 99, 92, 99],
		[0, 0, 0, 0, 0, 0]
    ],
    'sensitivity': [0, 0, 1, 0, 1, 1],
    'has_fixed_freq': True,
}",DX7_YAMAHA/VRC Voice ROMs/vrc110b.syx,vrc110b.syx,True,222,DX7_YAMAHA/VRC Voice ROMs/vrc110b/9_Anna Fat .wav,False
